"country","first_name","last_name","total_spent","customer_id"
"Argentina","Diego                                             ","Gutiérrez                                         ","39.6",56
"Australia","Mark                                              ","Taylor                                            ","81.18",55
"Austria","Astrid                                            ","Gruber                                            ","69.3",7
"Belgium","Daan                                              ","Peeters                                           ","60.38999999999999",8
"Brazil","Luís                                              ","Gonçalves                                         ","108.89999999999998",1
"Canada","François                                          ","Tremblay                                          ","99.99",3
"Chile","Luis                                              ","Rojas                                             ","97.02000000000001",57
"Czech Republic","R                                                 ","Madhav                                            ","144.54000000000002",5
"Denmark","Kara                                              ","Nielsen                                           ","37.61999999999999",9
"Finland","Terhi                                             ","Hämäläinen                                        ","79.2",44
"France","Wyatt                                             ","Girard                                            ","99.99",42
"Germany","Fynn                                              ","Zimmermann                                        ","94.05000000000001",37
"Hungary","Ladislav                                          ","Kovács                                            ","78.21",45
"India","Manoj                                             ","Pareek                                            ","111.86999999999999",58
"Ireland","Hugh                                              ","O'Reilly                                          ","114.83999999999997",46
"Italy","Lucas                                             ","Mancini                                           ","50.49",47
"Netherlands","Johannes                                          ","Van der Berg                                      ","65.34",48
"Norway","Bjørn                                             ","Hansen                                            ","72.27000000000001",4
"Poland","Stanisław                                         ","Wójcik                                            ","76.22999999999999",49
"Portugal","João                                              ","Fernandes                                         ","102.96000000000001",34
"Spain","Enrique                                           ","Muñoz                                             ","98.01",50
"Sweden","Joakim                                            ","Johansson                                         ","75.24",51
"United Kingdom","Phil                                              ","Hughes                                            ","98.01",53
"USA","Jack                                              ","Smith                                             ","98.01",17
