"country","first_name","last_name","total_spent"
"Argentina","Diego                                             ","Gutiérrez                                         ","39.6"
"Australia","Mark                                              ","Taylor                                            ","81.18"
"Austria","Astrid                                            ","Gruber                                            ","69.3"
"Belgium","Daan                                              ","Peeters                                           ","60.38999999999999"
"Brazil","Luís                                              ","Gonçalves                                         ","108.89999999999998"
"Canada","François                                          ","Tremblay                                          ","99.99"
"Chile","Luis                                              ","Rojas                                             ","97.02000000000001"
"Czech Republic","R                                                 ","Madhav                                            ","144.54000000000002"
"Denmark","Kara                                              ","Nielsen                                           ","37.61999999999999"
"Finland","Terhi                                             ","Hämäläinen                                        ","79.2"
"France","Wyatt                                             ","Girard                                            ","99.99"
"Germany","Fynn                                              ","Zimmermann                                        ","94.05000000000001"
"Hungary","Ladislav                                          ","Kovács                                            ","78.21"
"India","Manoj                                             ","Pareek                                            ","111.86999999999999"
"Ireland","Hugh                                              ","O'Reilly                                          ","114.83999999999997"
"Italy","Lucas                                             ","Mancini                                           ","50.49"
"Netherlands","Johannes                                          ","Van der Berg                                      ","65.34"
"Norway","Bjørn                                             ","Hansen                                            ","72.27000000000001"
"Poland","Stanisław                                         ","Wójcik                                            ","76.22999999999999"
"Portugal","João                                              ","Fernandes                                         ","102.96000000000001"
"Spain","Enrique                                           ","Muñoz                                             ","98.01"
"Sweden","Joakim                                            ","Johansson                                         ","75.24"
"United Kingdom","Phil                                              ","Hughes                                            ","98.01"
"USA","Jack                                              ","Smith                                             ","98.01"
